latitude,longitude,property,mapped_unit,mean_value_mapped_unit,mean_uncertainty_mapped_unit,target_unit,mean_value_target_unit,mean_uncertainty_target_unit
18.80017636684304,52.53333333333335,nitrogen,cg/kg,72.33333333333333,71.33333333333333,g/kg,0.7233333333333333,0.7133333333333333
18.80017636684304,52.53333333333335,ocd,dg/dm³,84.33333333333333,23.33333333333333,hg/m³,8.433333333333334,2.333333333333333
18.80017636684304,52.53333333333335,phh2o,pH*10,82.0,3.0,-,8.2,0.3
18.80017636684304,52.53333333333335,sand,g/kg,611.0,12.0,%,61.1,1.2
18.80017636684304,52.53333333333335,silt,g/kg,285.6666666666667,43.66666666666666,%,28.56666666666667,4.366666666666666
18.80017636684304,52.53333333333335,soc,dg/kg,57.0,56.333333333333336,g/kg,5.7,5.633333333333334
18.80017636684304,52.53333333333335,wv0010,(10-2 cm³/cm³)*10,285.6666666666667,10.666666666666666,10-2 cm³/cm³,28.56666666666667,1.0666666666666669
18.80017636684304,52.53333333333335,wv0033,(10-2 cm³/cm³)*10,232.66666666666663,15.333333333333334,10-2 cm³/cm³,23.266666666666666,1.5333333333333334
18.80017636684304,52.53333333333335,wv1500,(10-2 cm³/cm³)*10,104.33333333333331,24.33333333333333,10-2 cm³/cm³,10.433333333333334,2.433333333333333
18.8163139329806,52.53333333333335,bdod,cg/cm³,153.0,5.0,kg/dm³,1.53,0.05
18.8163139329806,52.53333333333335,cec,mmol(c)/kg,172.0,51.66666666666666,cmol(c)/kg,17.2,5.166666666666666
18.8163139329806,52.53333333333335,cfvo,cm³/dm³,197.66666666666663,246.3333333333333,cm³/100cm³,19.766666666666666,24.633333333333333
18.8163139329806,52.53333333333335,clay,g/kg,93.66666666666669,87.33333333333333,%,9.366666666666667,8.733333333333333
18.8163139329806,52.53333333333335,nitrogen,cg/kg,72.0,70.33333333333333,g/kg,0.72,0.7033333333333333
18.8163139329806,52.53333333333335,ocd,dg/dm³,82.33333333333333,26.0,hg/m³,8.233333333333333,2.6
18.8163139329806,52.53333333333335,phh2o,pH*10,82.33333333333333,3.0,-,8.233333333333333,0.3
18.8163139329806,52.53333333333335,sand,g/kg,601.6666666666666,14.0,%,60.16666666666666,1.4
18.8163139329806,52.53333333333335,silt,g/kg,305.0,48.66666666666666,%,30.5,4.866666666666666
18.8163139329806,52.53333333333335,soc,dg/kg,51.0,57.66666666666666,g/kg,5.1,5.766666666666667
18.8163139329806,52.53333333333335,wv0010,(10-2 cm³/cm³)*10,282.6666666666667,11.0,10-2 cm³/cm³,28.26666666666667,1.1
18.8163139329806,52.53333333333335,wv0033,(10-2 cm³/cm³)*10,234.66666666666663,14.0,10-2 cm³/cm³,23.466666666666665,1.4
18.8163139329806,52.53333333333335,wv1500,(10-2 cm³/cm³)*10,101.66666666666669,24.666666666666668,10-2 cm³/cm³,10.166666666666668,2.466666666666667
18.82477954144621,52.53333333333335,bdod,cg/cm³,152.66666666666666,5.0,kg/dm³,1.5266666666666666,0.05
18.82477954144621,52.53333333333335,cec,mmol(c)/kg,156.0,51.0,cmol(c)/kg,15.6,5.1
18.82477954144621,52.53333333333335,cfvo,cm³/dm³,177.33333333333334,280.3333333333333,cm³/100cm³,17.733333333333334,28.03333333333333
18.82477954144621,52.53333333333335,clay,g/kg,93.33333333333331,83.0,%,9.333333333333332,8.3
18.82477954144621,52.53333333333335,nitrogen,cg/kg,73.33333333333333,80.0,g/kg,0.7333333333333333,0.8
18.82477954144621,52.53333333333335,ocd,dg/dm³,84.66666666666667,27.0,hg/m³,8.466666666666667,2.7
18.82477954144621,52.53333333333335,phh2o,pH*10,82.33333333333333,3.0,-,8.233333333333333,0.3
18.82477954144621,52.53333333333335,sand,g/kg,613.3333333333334,13.0,%,61.333333333333336,1.3
18.82477954144621,52.53333333333335,silt,g/kg,293.3333333333333,50.66666666666666,%,29.33333333333333,5.066666666666666
18.82477954144621,52.53333333333335,soc,dg/kg,46.0,58.66666666666666,g/kg,4.6,5.866666666666666
18.82477954144621,52.53333333333335,wv0010,(10-2 cm³/cm³)*10,285.3333333333333,11.0,10-2 cm³/cm³,28.53333333333333,1.1
18.82477954144621,52.53333333333335,wv0033,(10-2 cm³/cm³)*10,232.66666666666663,15.0,10-2 cm³/cm³,23.266666666666666,1.5
18.82477954144621,52.53333333333335,wv1500,(10-2 cm³/cm³)*10,102.0,23.666666666666668,10-2 cm³/cm³,10.2,2.3666666666666667
18.82777777777778,52.53333333333335,bdod,cg/cm³,149.66666666666666,5.0,kg/dm³,1.4966666666666666,0.05
18.82777777777778,52.53333333333335,cec,mmol(c)/kg,158.0,50.66666666666666,cmol(c)/kg,15.8,5.066666666666666
18.82777777777778,52.53333333333335,cfvo,cm³/dm³,224.3333333333333,194.3333333333333,cm³/100cm³,22.433333333333334,19.433333333333334
18.82777777777778,52.53333333333335,clay,g/kg,99.33333333333331,86.66666666666667,%,9.933333333333334,8.666666666666668
18.82777777777778,52.53333333333335,nitrogen,cg/kg,75.0,69.33333333333333,g/kg,0.75,0.6933333333333332
18.82777777777778,52.53333333333335,ocd,dg/dm³,86.66666666666667,27.0,hg/m³,8.666666666666668,2.7
18.82777777777778,52.53333333333335,phh2o,pH*10,82.0,3.0,-,8.2,0.3
18.82777777777778,52.53333333333335,sand,g/kg,597.0,13.333333333333334,%,59.7,1.3333333333333337
18.82777777777778,52.53333333333335,silt,g/kg,303.6666666666667,46.66666666666666,%,30.366666666666667,4.666666666666666
18.82777777777778,52.53333333333335,soc,dg/kg,47.333333333333336,58.66666666666666,g/kg,4.733333333333333,5.866666666666666
